show_id,streaming_service,type,title,director,cast,country,country1,country2,country3,country4,country5,country6,date_added,release_year,rating,movie_runtime,number_of_seasons,listed_in,category1,category2,category3,category4,category5
24,Amazon Prime,TV Show,ZeroZeroZero,,"ANDREA RISEBOROUGH, HAROLD TORRES, CLAUDIA PINEDA, TCHEKY KARYO, GIUSEPPE DE DOMENICO, GABRIEL BYRNE, DANE DEHAAN, ADRIANO CHIARAMIDA",Italy,Italy,,,,,,,2020,18+,,1,TV Shows,TV Shows,,,,
25,Amazon Prime,Movie,Zandalee,Sam Pillsbury,"Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano, Viveca Lindfors, Aaron Neville, Steve Buscemi, Ian Abercrombie, Marisa Tomei, Jo-El Sonnier, Newell Alexander, Blaise Delacroix, Eliott Keener, Richard Greenberg, John Cutler, Thomas Iain",,,,,,,,,1991,R,94,,Drama,Drama,,,,
26,Amazon Prime,Movie,Zambezi: Force of Life,Dr. Rudolf Lammers,,,,,,,,,,2005,ALL,50,,Documentary,Documentary,,,,
27,Amazon Prime,TV Show,Zahara: The Return,,"Natasha Heschélle, Curtis Morgan, Hannah Scott, Dennis Nimoh, Christine Nguyen",,,,,,,,,2020,16+,,1,TV Shows,TV Shows,,,,
28,Amazon Prime,TV Show,Z: The Beginning of Everything,,"Christina Ricci , David Hoflin",United States,United States,,,,,,,2017,18+,,1,"Comedy, Drama",Comedy,Drama,,,
29,Amazon Prime,TV Show,Yu-Gi-Oh! Zexal,,"Eli Jay, Marc Thompson, Sean Schemmel, Eileen Stevens",,,,,,,,,2015,TV-Y7,,3,"Animation, Anime, Fantasy",Animation,Anime,Fantasy,,
30,Amazon Prime,TV Show,Yu-Gi-Oh! ARC-V,,"Michael Liscio Jr., Emily Bauer",,,,,,,,,2018,TV-Y7,,3,"Action, Adventure, Animation",Action,Adventure,Animation,,
31,Amazon Prime,TV Show,Yu-Gi-Oh! 5D's,,"Gregory Abbey, Bella Hudson, Ed Paul",,,,,,,,,2011,TV-Y7,,2,"Anime, Kids",Anime,Kids,,,
32,Amazon Prime,TV Show,Your Bleeped Up Brain,,"Dobrokhotova Ekaterina, Mike New",,,,,,,,,2013,TV-PG,,1,TV Shows,TV Shows,,,,
33,Amazon Prime,Movie,Young Lovers,Ida Lupino,"Sally Forrest, Keefe Brasselle, Hugh O'Brian, Eve Miller, Lawrence Dobkin, Rita Lupino",,,,,,,,,1949,18+,86,,Drama,Drama,,,,
34,Amazon Prime,Movie,Young Love (at the Sun Factory),,,,,,,,,,,2007,NR,36,,Music Videos and Concerts,Music Videos and Concerts,,,,
35,Amazon Prime,Movie,Young Love (at Bowery Ballroom),,,,,,,,,,,2007,NR,37,,Music Videos and Concerts,Music Videos and Concerts,,,,
36,Amazon Prime,TV Show,Young Lions,,"Alex Dimitriades, Alexandra Davies, Tom Long, Anna Lise Phillips, Katherine Slattery, Penny Cook, Amie Mckenna, Socratis Otto, Anna Torv, John Waters, Maya Stange, Jackson Purtan-Smith, George Anakotta",,,,,,,,,2002,16+,,1,"Drama, Suspense",Drama,Suspense,,,
37,Amazon Prime,Movie,You're Not You,George C. Wolfe,"Hilary Swank, Emmy Rossum, Josh Duhamel",,,,,,,,,2015,R,103,,Drama,Drama,,,,
38,Amazon Prime,Movie,"You, Me and Him",Daisy Aitkens,"David Tennant, Lucy Punch, Faye Marsay, Gemma Jones",,,,,,,,,2017,,98,,"Comedy, Drama",Comedy,Drama,,,
39,Amazon Prime,Movie,Yoga with Sound Meditations,Mark Knight,Ann-Marie Newland,,,,,,,,,2016,ALL,9,,"Fitness, Special Interest",Fitness,Special Interest,,,
40,Amazon Prime,Movie,Yoga to Harness Your Chakra Energy,Mark Knight,Caroline Shola Arewa,,,,,,,,,2014,ALL,18,,"Faith and Spirituality, Special Interest",Faith and Spirituality,Special Interest,,,
41,Amazon Prime,Movie,Yoga to Ease Flight Anxiety,Mark Knight,Anne-Marie Newland,,,,,,,,,2016,ALL,14,,"Fitness, Special Interest",Fitness,Special Interest,,,
42,Amazon Prime,Movie,Yoga to Break Any Habit,Mark Knight,Dr Daniel J Nightingale,,,,,,,,,2014,ALL,20,,Special Interest,Special Interest,,,,
43,Amazon Prime,TV Show,"Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper",,Lindsey Samper,,,,,,,,,2018,ALL,,1,Fitness,Fitness,,,,
44,Amazon Prime,Movie,Yoga Savasana Relaxation,Mark Knight,Anne-Marie Newland,,,,,,,,,2014,ALL,19,,"Fitness, Special Interest",Fitness,Special Interest,,,
45,Amazon Prime,Movie,Yoga for Relaxation Anywhere,Mark Knight,Anne-Marie Newland,,,,,,,,,2014,ALL,18,,"Fitness, Special Interest",Fitness,Special Interest,,,
46,Amazon Prime,Movie,Yoga for Relaxation and Stress Relief Anywhere,Mark Knight,Anne-Marie Newland,,,,,,,,,2014,ALL,20,,"Fitness, Special Interest",Fitness,Special Interest,,,
47,Amazon Prime,Movie,Yoga for Relaxation and Stress Relief,Mark Knight,Anne-Marie Newland,,,,,,,,,2014,ALL,20,,Special Interest,Special Interest,,,,
48,Amazon Prime,Movie,Yoga for Mindfulness and Meditation,Mark Knight,Anne-Marie Newland,,,,,,,,,2016,ALL,22,,"Fitness, Special Interest",Fitness,Special Interest,,,
49,Amazon Prime,Movie,Yoga for Men's Health,Mark Knight,Anne-Marie Newland,,,,,,,,,2016,ALL,60,,"Fitness, Special Interest",Fitness,Special Interest,,,
50,Amazon Prime,Movie,Yoga for Breath Awareness,Mark Knight,Anne-Marie Newland,,,,,,,,,2016,ALL,6,,"Fitness, Special Interest",Fitness,Special Interest,,,
51,Amazon Prime,Movie,Yoga For Beginners,Mark Knight,Anne-Marie Newland,,,,,,,,,2016,ALL,54,,"Fitness, Special Interest",Fitness,Special Interest,,,
52,Amazon Prime,Movie,Yoga for Abdominal Breathing,Mark Knight,Anne-Marie Newland,,,,,,,,,2019,ALL,5,,Special Interest,Special Interest,,,,
53,Amazon Prime,Movie,Yellowneck,R. John Hugh,"Lin McCarthy, Stephen Courtleigh, Berry Kroeger, Harold Gordon, Bill Mason",,,,,,,,,1955,18+,84,,"Action, Military and War, Western",Action,Military and War,Western,,
54,Amazon Prime,TV Show,Yearly Departed,,"Phoebe Robinson, Rachel Brosnahan, Tiffany Haddish, Patti Harrison, Natasha Leggero, Natasha Rothwell, Sarah Silverman, Ziwe, Christina Aguilera, Sterling K Brown",,,,,,,,,2020,16+,,1,"Arts, Entertainment, and Culture, Comedy, Talk Show and Variety",Arts,Entertainment,and Culture,Comedy,Talk Show and Variety
55,Amazon Prime,Movie,Yatra (Telugu),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",,,,,,,,,2019,ALL,126,,"Drama, International",Drama,International,,,
56,Amazon Prime,Movie,Yatra (Malayalam),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",,,,,,,,,2019,ALL,125,,"Drama, International",Drama,International,,,
57,Amazon Prime,TV Show,Yancy Derringer,,"Jock Mahoney, X Brands, Kevin Hagen, Framces Bergen, Charlene James, Joan Taylor, Charles Bronson, Margaret Hayes, Kelly Thordsen, Particia Blair",,,,,,,,,1959,13+,,1,"Action, Western",Action,Western,,,
58,Amazon Prime,TV Show,Xploration Earth 2050,,Chuck Pell,,,,,,,,,2017,ALL,,2,"Documentary, Science Fiction",Documentary,Science Fiction,,,
59,Amazon Prime,TV Show,Xiaolin Chronicles,,"Tara Strong, Jennifer Hale, Eric Bauza, David Kaye, Michael Donovan, Cree Summer",,,,,,,,,2015,7+,,1,"Adventure, Animation, Kids",Adventure,Animation,Kids,,
60,Amazon Prime,Movie,Xchange,Allan Moyle,"Stephen Baldwin, Pascale Bussières, Kim Coates, Kyle MacLachlan, Tom Rack",,,,,,,,,2001,R,109,,"Fantasy, Science Fiction, Suspense",Fantasy,Science Fiction,Suspense,,
61,Amazon Prime,Movie,X-Ray,Boaz Davidson,"Barbi Benton, Chip Lucia",,,,,,,,,1983,R,89,,Suspense,Suspense,,,,
62,Amazon Prime,TV Show,WWII in HD,,"Gary Sinise, Charles Scheffel",,,,,,,,,2009,TV-14,,1,Action,Action,,,,
63,Amazon Prime,Movie,Wrangler: Anatomy of an Icon,Jeffrey Schwarz,"Jack Wrangler, Margaret Whiting, Marc Shaiman, Bruce Vilanch, Christine Ebersole, Michael Musto, Chi Chi La Rue, Sharon Mitchell, Jamie Gillis, Candida Royalle, Samantha Fox, Gloria Leonard",,,,,,,,,2008,18+,85,,"Documentary, LGBTQ",Documentary,LGBTQ,,,
64,Amazon Prime,TV Show,WPC 56,,"WPC Annie Taylor, Charles De'Ath, Olly Rix, James Barriscale, Rachel Leskovac, Liam Jeavons, Mark Healy",,,,,,,,,2015,13+,,3,"Drama, Romance, Suspense",Drama,Romance,Suspense,,
65,Amazon Prime,TV Show,Would I Lie to You?,,"David Mitchell, Lee Mack, Rob Brydon",,,,,,,,,2009,TV-PG,,1,"Comedy, Special Interest, Unscripted",Comedy,Special Interest,Unscripted,,
