Title,Genre,Premiere,Runtime,IMDB Score,Language,Language1,Language2,Language3
Shimmer Lake,Crime thriller,2017-06-09,86,6.3,English,English,,
War Machine,War-Comedy,2017-05-26,122,6,English,English,,
Joshua: Teenager vs. Superpower,Documentary,2017-05-26,78,7.1,English,English,,
Blame!,Anime/Science fiction,2017-05-20,106,6.7,Japanese,Japanese,,
Laerte-se,Documentary,2017-05-19,100,6.9,Portuguese,Portuguese,,
Get Me Roger Stone,Documentary,2017-05-12,101,7.3,English,English,,
Handsome: A Netflix Mystery Movie,Comedy,2017-05-05,81,5.2,English,English,,
The Mars Generation,Documentary,2017-05-05,97,6.4,English,English,,
Rodney King,One-man show,2017-04-28,52,5.8,English,English,,
Small Crimes,Dark comedy,2017-04-28,95,5.8,English,English,,
Casting JonBenet,Documentary,2017-04-28,80,6.1,English,English,,
Sand Castle,War,2017-04-21,113,6.3,English,English,,
Tramps,Romance,2017-04-21,83,6.5,English,English,,
Sandy Wexler,Comedy,2017-04-14,131,5.2,English,English,,
Win It All,Comedy,2017-04-07,88,6.2,English,English,,
The Discovery,Science fiction/Drama,2017-03-31,102,6.3,English,English,,
The Most Hated Woman in America,Biopic,2017-03-24,92,6.1,English,English,,
Deidra & Laney Rob a Train,Drama,2017-03-17,94,6.1,English,English,,
Burning Sands,Drama,2017-03-10,102,6.1,English,English,,
I Don't Feel at Home in This World Anymore,Drama,2017-02-24,96,6.9,English,English,,
Girlfriend's Day,Comedy,2017-02-14,70,5.2,English,English,,
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,2017-02-07,54,6.7,English,English,,
Imperial Dreams,Drama,2017-02-03,87,6.7,English,English,,
iBoy,Science fiction/Thriller,2017-01-27,90,6,English,English,,
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,2017-01-26,36,7.1,English,English,,
Take the 10,Comedy,2017-01-20,80,4.8,English,English,,
Clinical,Thriller,2017-01-13,104,5.1,English,English,,
Coin Heist,Heist,2017-01-06,97,4.8,English,English,,
Barry,Biopic,2016-12-16,104,5.8,English,English,,
Spectral,Science fiction/Action,2016-12-09,108,6.3,English,English,,
Mercy,Thriller,2016-11-22,90,4.2,English,English,,
