Title,Genre,Premiere,Runtime,IMDB Score,Language,Language1,Language2,Language3
A Life of Speed: The Juan Manuel Fangio Story,Documentary,2020-03-20,92,6.8,Spanish,Spanish,,
Altered Carbon: Resleeved,Anime/Science fiction,2020-03-19,74,6.5,Japanese,Japanese,,
Lost Girls,Crime drama,2020-03-13,95,6.1,English,English,,
Sitara: Let Girls Dream,Animation / Short,2020-03-08,15,7.3,English,English,,
Guilty,Thriller,2020-03-06,119,5.4,Hindi,Hindi,,
Spenser Confidential,Action comedy,2020-03-06,111,6.2,English,English,,
All the Bright Places,Romance,2020-02-28,108,6.5,English,English,,
The Last Thing He Wanted,Political thriller,2020-02-21,115,4.3,English,English,,
Yeh Ballet,Drama,2020-02-21,117,7.6,Hindi,Hindi,,
Isi & Ossi,Romantic comedy,2020-02-14,113,6.4,German,German,,
To All the Boys: P.S. I Still Love You,Romantic comedy,2020-02-12,102,6,English,English,,
Road to Roma,Making-of,2020-02-11,72,7.7,Spanish,Spanish,,
Horse Girl,Drama,2020-02-07,104,5.9,English,English,,
Miss Americana,Documentary,2020-01-31,85,7.4,English,English,,
Airplane Mode,Comedy,2020-01-23,96,5,Portuguese,Portuguese,,
What Did Jack Do?,Drama / Short,2020-01-20,17,6.5,English,English,,
A Fall from Grace,Thriller,2020-01-17,120,5.9,English,English,,
Ghost Stories,Horror anthology,2020-01-01,144,4.3,Hindi,Hindi,,
El Pepe: A Supreme Life,Documentary,2019-12-27,73,7.1,Spanish,Spanish,,
The App,Science fiction/Drama,2019-12-26,79,2.6,Italian,Italian,,
Como Caído del Cielo,Musical comedy,2019-12-24,112,6.4,Spanish,Spanish,,
John Mulaney & the Sack Lunch Bunch,Variety show,2019-12-24,70,7.5,English,English,,
The Two Popes,Drama,2019-12-20,125,7.6,English,English,,
After the Raid,Documentary,2019-12-19,25,4.3,Spanish,Spanish,,
6 Underground,Action,2019-12-13,128,6.1,English,English,,
Marriage Story,Drama,2019-12-06,136,7.9,English,English,,
A Christmas Prince: The Royal Baby,Romantic comedy,2019-12-05,85,5.4,English,English,,
Porta dos Fundos: The First Temptation of Christ,Comedy,2019-12-03,46,4.6,Portuguese,Portuguese,,
Dead Kids,Thriller,2019-12-01,94,5.5,Filipino,Filipino,,
Holiday Rush,Family film,2019-11-28,94,4.9,English,English,,
The Irishman: In Conversation,Aftershow / Interview,2019-11-27,23,7.4,English,English,,
The Irishman,Crime drama,2019-11-27,209,7.8,English,English,,
The Knight Before Christmas,Romantic comedy,2019-11-21,92,5.5,English,English,,
"Bikram: Yogi, Guru, Predator",Documentary,2019-11-20,86,6.7,English,English,,
"Lorena, Light-Footed Woman",Documentary,2019-11-20,28,7,Spanish,Spanish,,
House Arrest,Comedy,2019-11-15,104,5.5,Hindi,Hindi,,
Earthquake Bird,Mystery,2019-11-15,107,5.9,English,English,,
Klaus,Animation/Christmas/Comedy/Adventure,2019-11-15,97,8.2,English,English,,
Let It Snow,Romantic comedy,2019-11-08,92,5.8,English,English,,
Drive,Action,2019-11-01,147,3.5,Hindi,Hindi,,
American Son,Drama,2019-11-01,90,5.8,English,English,,
Holiday in the Wild,Adventure-romance,2019-11-01,85,6.1,English,English,,
The King,Historical drama,2019-11-01,140,7.2,English,English,,
Fire in Paradise,Documentary,2019-11-01,39,7.4,English,English,,
The Road to El Camino: A Breaking Bad Movie,Making-of,2019-10-29,13,7.2,English,English,,
A 3 Minute Hug,Documentary,2019-10-28,28,6.5,English/Spanish,English,Spanish,
Little Miss Sumo,Documentary,2019-10-28,19,6.7,Japanese,Japanese,,
Rattlesnake,Horror,2019-10-25,85,4.6,English,English,,
It Takes a Lunatic,Documentary,2019-10-25,126,6.6,English,English,,
Dolemite Is My Name,Biopic,2019-10-25,118,7.3,English,English,,
Dancing with the Birds,Documentary,2019-10-23,51,8.3,English,English,,
Eli,Horror,2019-10-18,98,5.7,English,English,,
The Laundromat,Comedy-drama,2019-10-18,98,6.3,English,English,,
Upstarts,Drama,2019-10-18,112,6.7,Hindi,Hindi,,
Seventeen,Coming-of-age comedy-drama,2019-10-18,99,7.2,Spanish,Spanish,,
Tell Me Who I Am,Documentary,2019-10-18,85,7.6,English,English,,
Ghosts of Sugar Land,Documentary,2019-10-16,21,5.5,English,English,,
Street Flow,Drama,2019-10-12,96,6.4,French,French,,
The Forest of Love,Drama,2019-10-11,151,6.3,Japanese,Japanese,,
Fractured,Thriller,2019-10-11,100,6.4,English,English,,
El Camino: A Breaking Bad Movie,Crime drama,2019-10-11,121,7.3,English,English,,
In the Tall Grass,Horror,2019-10-04,101,5.4,English,English,,
In the Shadow of the Moon,Thriller,2019-09-27,115,6.2,English,English,,
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,2019-09-27,41,6.4,English,English,,
Birders,Documentary,2019-09-25,37,6.4,English/Spanish,English,Spanish,
Between Two Ferns: The Movie,Comedy,2019-09-20,82,6.1,English,English,,
Los Tigres del Norte at Folsom Prison,Documentary,2019-09-15,64,7,Spanish,Spanish,,
"Hello Privilege. It's Me, Chelsea",Documentary,2019-09-13,64,4.4,English,English,,
Tall Girl,Comedy-drama,2019-09-13,102,5.2,English,English,,
Evelyn,Documentary,2019-09-10,96,7.1,English,English,,
Back to School,Comedy,2019-08-30,83,5.3,French,French,,
Falling Inn Love,Romantic comedy,2019-08-29,97,5.6,English,English,,
Travis Scott: Look Mom I Can Fly,Documentary,2019-08-28,85,6.3,English,English,,
American Factory: A Conversation with the Obamas,Aftershow / Interview,2019-08-21,10,5.2,English,English,,
American Factory,Documentary,2019-08-21,110,7.4,English,English,,
Sextuplets,Comedy,2019-08-16,99,4.4,English,English,,
Invader Zim: Enter the Florpus,Animation / Science Fiction,2019-08-16,71,7.5,English,English,,
Lovefucked,Drama,2019-08-09,106,6,Hindi,Hindi,,
Rocko's Modern Life: Static Cling,Animation / Comedy,2019-08-09,45,7,English,English,,
Enter the Anime,Documentary,2019-08-05,58,2.5,English/Japanese,English,Japanese,
Otherhood,Comedy,2019-08-02,100,6.1,English,English,,
The Red Sea Diving Resort,Spy thriller,2019-07-31,130,6.6,English,English,,
The Great Hack,Documentary,2019-07-24,114,7.1,English,English,,
Secret Obsession,Thriller,2019-07-18,97,4.4,English,English,,
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,2019-07-16,32,5.9,English,English,,
Point Blank,Action,2019-07-12,86,5.7,English,English,,
Parchis: The Documentary,Documentary,2019-07-10,106,6.7,Spanish,Spanish,,
Anima,Musical / Short,2019-06-27,15,7.7,English,English,,
Beats,Drama,2019-06-19,110,7.1,English,English,,
The Edge of Democracy,Documentary,2019-06-19,121,7.2,Portuguese,Portuguese,,
Murder Mystery,Comedy mystery,2019-06-14,97,6,English,English,,
Life Overtakes Me,Documentary,2019-06-14,40,6.5,English/Swedish,English,Swedish,
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,2019-06-12,144,7.6,English,English,,
Elisa & Marcela,Romance,2019-06-07,118,6.6,Spanish,Spanish,,
The Black Godfather,Documentary,2019-06-07,118,7.4,English,English,,
Chopsticks,Comedy,2019-05-31,100,6.5,Hindi,Hindi,,
Always Be My Maybe,Romantic comedy,2019-05-31,102,6.8,English,English,,
After Maria,Documentary,2019-05-24,37,4.6,English/Spanish,English,Spanish,
Rim of the World,Science fiction adventure,2019-05-24,98,5.2,English,English,,
The Perfection,Horror-thriller,2019-05-24,90,6.1,English,English,,
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,2019-05-23,30,6.9,English,English,,
A Tale of Two Kitchens,Documentary,2019-05-22,30,6.3,English/Spanish,English,Spanish,
See You Yesterday,Science fiction,2019-05-17,87,5.2,English,English,,
ReMastered: The Lion's Share,Documentary,2019-05-17,84,7,English,English,,
Good Sam,Drama,2019-05-16,89,5.7,English,English,,
Still Laugh-In: The Stars Celebrate,Variety show,2019-05-14,60,5.2,English,English,,
Wine Country,Comedy,2019-05-10,103,5.5,English,English,,
Despite Everything,Comedy,2019-05-03,78,5.4,Spanish,Spanish,,
All in My Family,Documentary,2019-05-03,39,6.8,English/Mandarin,English,Mandarin,
Knock Down the House,Documentary,2019-05-01,87,7.1,English,English,,
ReMastered: Devil at the Crossroads,Documentary,2019-04-26,48,7,English,English,,
Grass Is Greener,Documentary,2019-04-20,97,7.1,English,English,,
Someone Great,Romantic comedy,2019-04-19,92,6.2,English,English,,
Music Teacher,Drama,2019-04-19,101,6.3,Hindi,Hindi,,
Brene Brown: The Call to Courage,Documentary,2019-04-19,76,7.7,English,English,,
Homecoming: A Film by Beyonce,Documentary,2019-04-17,137,7.5,English,English,,
Who Would You Take to a Deserted Island?,Drama,2019-04-12,93,5.3,Spanish,Spanish,,
The Perfect Date,Romantic comedy,2019-04-12,89,5.8,English,English,,
Unicorn Store,Comedy,2019-04-05,92,5.5,English,English,,
15 August,Comedy-drama,2019-03-29,124,5.8,Marathi,Marathi,,
The Legend of Cocaine Island,Documentary,2019-03-29,87,6.3,English,English,,
The Highwaymen,Crime drama,2019-03-29,131,6.9,English,English,,
ReMastered: The Miami Showband Massacre,Documentary,2019-03-22,70,7,English,English,,
The Dirt,Biopic,2019-03-22,108,7,English,English,,
Antoine Griezmann: The Making of a Legend,Documentary,2019-03-21,60,6.5,French,French,,
Triple Frontier,Action-thriller,2019-03-13,125,6.4,English,English,,
Juanita,Drama,2019-03-08,90,6,English,English,,
Walk. Ride. Rodeo.,Drama,2019-03-08,99,6.4,English,English,,
Paris Is Us,Romance drama,2019-02-22,83,4.6,French,French,,
Firebrand,Drama,2019-02-22,112,5.2,Marathi,Marathi,,
Paddleton,Drama-Comedy,2019-02-22,89,7.2,English,English,,
Period. End of Sentence.,Documentary,2019-02-12,26,7.4,English/Hindi,English,Hindi,
Kevin Hart's Guide to Black History,Variety show,2019-02-08,63,5.5,English,English,,
High Flying Bird,Sports-drama,2019-02-08,90,6.2,English,English,,
ReMastered: The Two Killings of Sam Cooke,Documentary,2019-02-08,64,7.3,English,English,,
Velvet Buzzsaw,Thriller,2019-02-01,112,5.7,English,English,,
Polar,Action,2019-01-25,118,6.3,English,English,,
IO,Science fiction/Drama,2019-01-18,95,4.7,English,English,,
Fyre: The Greatest Party That Never Happened,Documentary,2019-01-18,97,7.2,English,English,,
Soni,Crime drama,2019-01-18,97,7.2,Hindi,Hindi,,
The Last Laugh,Comedy-drama,2019-01-11,98,5.6,English,English,,
ReMastered: Massacre at the Stadium,Documentary,2019-01-11,64,7.3,English/Spanish,English,Spanish,
Lionheart,Comedy,2019-01-04,94,5.7,English,English,,
Taylor Swift: Reputation Stadium Tour,Concert Film,2018-12-31,125,8.4,English,English,,
Porta dos Fundos: The Last Hangover,Comedy,2018-12-21,44,6.3,Portuguese,Portuguese,,
Bird Box,Psychological thriller,2018-12-21,124,6.6,English,English,,
Struggle: The Life and Lost Art of Szukaiski,Documentary,2018-12-21,105,8,English,English,,
Springsteen on Broadway,One-man show,2018-12-16,153,8.5,English,English,,
Roma,Drama,2018-12-14,135,7.7,Spanish,Spanish,,
"Out of Many, One",Documentary,2018-12-12,34,5.7,English,English,,
5 Star Christmas,Comedy,2018-12-07,95,4.6,Italian,Italian,,
Mowgli: Legend of the Jungle,Adventure,2018-12-07,104,6.5,English,English,,
ReMastered: Who Killed Jam Master Jay?,Documentary,2018-12-07,58,6.6,English,English,,
The American Meme,Documentary,2018-12-07,98,6.6,English,English,,
A Christmas Prince: The Royal Wedding,Romantic comedy,2018-11-30,92,5.3,English,English,,
Rajma Chawal,Comedy-drama,2018-11-30,118,5.8,Hindi,Hindi,,
Angela's Christmas,Animation,2018-11-30,30,7.1,English,English,,
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,2018-11-22,104,7,English,English,,
Cam,Psychological horror,2018-11-16,94,5.9,English,English,,
The Princess Switch,Romantic comedy,2018-11-16,101,6,English,English,,
The Ballad of Buster Scruggs,Western,2018-11-16,132,7.3,English,English,,
Loudon Wainwright III: Surviving Twin,One-man show,2018-11-13,91,7.1,English,English,,
Outlaw King,Historical-epic,2018-11-09,121,6.9,English,English,,
The Holiday Calendar,Romantic comedy,2018-11-02,95,5.7,English,English,,
The Other Side of the Wind,Drama,2018-11-02,122,6.8,English,English,,
ReMastered: Tricky Dick & the Man in Black,Documentary,2018-11-02,58,7.1,English,English,,
They'll Love Me When I'm Dead,Documentary,2018-11-02,98,7.4,English,English,,
Been So Long,Musical,2018-10-26,100,5.5,English,English,,
Shirkers,Documentary,2018-10-26,97,7.4,English,English,,
The Night Comes for Us,Action-thriller,2018-10-19,121,7,Indonesian,Indonesian,,
Derren Brown: Sacrifice,Mentalism special,2018-10-19,49,7.1,English,English,,
Apostle,Horror-thriller,2018-10-12,129,6.3,English,English,,
ReMastered: Who Shot the Sheriff?,Documentary,2018-10-12,57,6.9,English,English,,
Feminists: What Were They Thinking?,Documentary,2018-10-12,86,7,English,English,,
22 July,Drama,2018-10-10,144,6.8,English,English,,
Private Life,Drama,2018-10-05,124,7.2,English,English,,
Hold the Dark,Thriller,2018-09-28,125,5.6,English,English,,
Notes from Dunblane: Lesson from a School Shooting,Documentary,2018-09-28,23,5.9,English,English,,
Two Catalonias,Documentary,2018-09-28,116,6.4,Spanish/Catalan,Spanish,Catalan,
Nappily Ever After,Comedy-drama,2018-09-21,98,6.4,English,English,,
Quincy,Documentary,2018-09-21,124,7.6,English,English,,
The Land of Steady Habits,Drama,2018-09-14,98,6.2,English,English,,
The Angel,Spy thriller,2018-09-14,114,6.6,English,English,,
Reversing Roe,Documentary,2018-09-13,99,7.5,English,English,,
On My Skin,Crime drama,2018-09-12,100,7.3,Italian,Italian,,
The Most Assassinated Woman in the World,Thriller,2018-09-07,102,5.3,French,French,,
Sierra Burgess Is a Loser,Romantic comedy-drama,2018-09-07,105,5.8,English,English,,
City of Joy,Documentary,2018-09-07,74,7.5,English,English,,
The After Party,Comedy,2018-08-24,89,5.8,English,English,,
